"","GeneName"
"563","Prima1"
"564","Ddit4"
"565","Man1a"
"566","Foxn3"
"567","Tmcc1"
"568","Npc2"
"569","Dusp16"
"570","Hist1h2bc"
"571","Fntb"
"572","Rdh11"
"573","Plekhg3"
"574","H2afj"
"575","Tspan9"
"576","Iffo1"
"577","Cdk19"
"578","Elmsan1"
"579","Marcks"
"580","Gng12"
"581","Usp39"
"582","Itgb8"
"583","Fkbp9"
"584","Stard3nl"
"585","Tspan15"
"586","Lsm3"
"587","Dip2a"
"588","Sema4f"
"589","Lss"
"590","Mxd1"
"591","Ank3"
"592","Eml1"
"593","Tex261"
"594","Tecpr2"
"595","Igsf8"
"596","Prkcq"
"597","Srsf6"
"598","Ppp1r16b"
"599","Cyb5a"
"600","Wdfy1"
"601","Exog"
"602","Med27"
"603","Idh1"
"604","B630019K06Rik"
"605","Dynlt3"
"606","Phactr3"
"607","Plod2"
"608","Erbb4"
"609","Tmem2"
"610","Cln5"
"611","Ssna1"
"612","Commd6"
"613","Agap1"
"614","Mavs"
"615","Fam214a"
"616","Mex3c"
"617","Hsd17b12"
"618","Mto1"
"619","D1Ertd622e"
"620","Pcdh17"
"621","Deb1"
"622","4930402H24Rik"
"623","Immp1l"
"624","Gpr176"
"625","Smad7"
"626","Srp14"
"627","Nacad"
"628","Rock1"
"629","BC031181"
"630","Aasdhppt"
"631","Ick"
"632","Dock9"
"633","Gpc1"
"634","Rap2a"
"635","Mapre1"
"636","Reep5"
"637","Gm2109"
"638","Lgi3"
"639","Nudt18"
"640","Commd3"
"641","Acss2"
"642","Zfp516"
"643","Itch"
"644","Dnm3"
"645","Mapk8ip1"
"646","Rbbp9"
"647","Ankrd49"
"648","Vldlr"
"649","Pak7"
"650","2310035C23Rik"
"651","Bin1"
"652","Kank1"
"653","Sft2d3"
"654","Phf8"
"655","Fam102a"
"656","Gm5617"
"657","Cnnm4"
"658","Sema4c"
"659","1700086O06Rik"
"660","Kirrel3"
"661","Map4k4"
"662","Snx15"
"663","Swi5"
"664","Gnb4"
"665","1110020A21Rik"
"666","Tnik"
"667","Gramd3"
"668","Ccnjl"
"669","Cops5"
"670","Jam3"
"671","Tmem178"
"672","Hey1"
"673","Tmed7"
"674","Sema6a"
"675","Clpx"
"676","Rnpep"
"677","Pcbp4"
"678","Cenpj"
"679","Ephb1"
"680","Cxxc5"
"681","Gsto2"
"682","Psme4"
"683","Slk"
"684","Sc5d"
"685","Nckap5"
"686","Urm1"
"687","Llgl1"
"688","Mgat5"
"689","Mcam"
"690","Txnl1"
"691","Cuedc2"
"692","Zdhhc9"
"693","Ift46"
"694","Gm12184"
"695","Pdk3"
"696","Hmgxb3"
"697","Specc1"
"698","Bace1"
"699","Fam89b"
"700","Nudt16"
"701","Mrpl3"
"702","Sp3os"
"703","Dync1i2"
"704","Gab3"
"705","Prkrip1"
"706","Zfp386"
"707","H3f3b"
"708","Metap2"
"709","Fam195b"
"710","Gpx4"
"711","B3gnt4"
"712","Fam173b"
"713","Lmnb1"
"714","Gtpbp6"
"715","Nrbp2"
"716","Gm6563"
"717","Polrmt"
"718","Gfpt2"
"719","Ankrd10"
"720","Cradd"
"721","Jazf1"
"722","Zfp128"
"723","Rsrc2"
"724","Uchl4"
"725","Rapgef5"
"726","Psmg4"
"727","Mrpl35"
"728","Sap30bp"
"729","Ran"
"730","Lig1"
"731","Pfdn1"
"732","Paip2"
"733","Sf3a2"
"734","Pcdhb17"
"735","Mrpl13"
"736","Dcps"
"737","Ubald2"
"738","Srp19"
"739","Zfp428"
"740","Pym1"
"741","Depdc7"
"742","AU041133"
"743","Hnrnpa2b1"
"744","Cbx3"
"745","Chmp2a"
"746","Gtf2a2"
"747","Krt1"
"748","Tmem205"
"749","Ndufs3"
"750","Endog"
"751","6030458C11Rik"
"752","Cdh19"
"753","Tcof1"
"754","Pdcd7"
"755","Gm26735"
"756","Commd9"
"757","Unc119b"
"758","Gm16251"
"759","Lgals4"
"760","Btg1"
"761","Fis1"
"762","Atg4d"
"763","Gm16099"
"764","Rnf10"
"765","Eif3l"
"766","Nat9"
"767","Tcf20"
"768","Raver1"
"769","Retsat"
"770","Drg1"
"771","Napa"
