,Acinar,Ductal_term,Ductal_CRISP3,Cancer_A,Ductal_MHCII,Cancer_B,mDCs_A,Ductal_APOL1,Tuft,mDCs_B,pDCs,Endocrine,Endothelial,Macro_A,Mast,Macro_B,T_NK,Mono,RBC,Fibro
219,0.06372213,0.1882178,0.26881874,0.18344976,0.075864494,0.15046252,0.03898017,0.015336453,0.009005365,0.004053353,0.000929022,0.000492871,0.000185513,0.000314565,7.17E-05,2.15E-05,2.07E-05,2.14E-05,1.71E-05,1.48E-05
220,0.14345673,0.08801063,0.08894263,0.22618023,0.28020653,0.08904718,0.055169646,0.021841442,0.005172968,0.001332663,0.00047511,9.24E-05,1.79E-05,3.55E-05,1.31E-05,1.41E-06,1.14E-06,1.13E-06,8.90E-07,8.10E-07
221,0.11077015,0.09590316,0.21291015,0.14734063,0.17940809,0.15374841,0.05785435,0.024828497,0.010211776,0.004695603,0.001246063,0.000438175,0.000167081,0.000306888,8.72E-05,1.87E-05,1.74E-05,1.98E-05,1.48E-05,1.31E-05
222,0.1179902,0.055109996,0.22761375,0.190681,0.2060218,0.11447546,0.05420124,0.02367874,0.006217595,0.002971954,0.000672982,0.000174197,6.31E-05,8.24E-05,2.44E-05,4.83E-06,4.32E-06,5.25E-06,3.63E-06,3.17E-06
223,0.12071052,0.100642204,0.18617314,0.19586012,0.19267549,0.11604471,0.051507797,0.022934262,0.008350276,0.003277228,0.001071646,0.00033638,0.000113462,0.000187299,6.17E-05,1.24E-05,1.11E-05,1.26E-05,9.33E-06,8.34E-06
224,0.09931736,0.11167123,0.157751,0.25452766,0.15274718,0.13232154,0.055545885,0.023874186,0.007899713,0.002830705,0.00090318,0.000284778,8.45E-05,0.000157823,4.84E-05,8.40E-06,7.40E-06,7.81E-06,5.96E-06,5.32E-06
225,0.04037217,0.44536224,0.03327133,0.37013665,0.06460088,0.03275292,0.009167248,0.002879349,0.001291202,0.000147057,1.55E-05,2.98E-06,1.92E-07,1.98E-07,4.04E-08,3.56E-09,2.48E-09,1.47E-09,1.38E-09,1.24E-09
226,0.06561249,0.22617565,0.025519095,0.3409579,0.18196706,0.095656574,0.04566543,0.014016874,0.003818531,0.000476894,0.000106082,1.99E-05,1.43E-06,4.80E-06,1.19E-06,5.45E-08,4.12E-08,2.69E-08,2.52E-08,2.36E-08
227,0.048644148,0.16998152,0.23604795,0.19269009,0.08006927,0.19552162,0.045530505,0.017050857,0.009096408,0.00382712,0.000695097,0.00035807,0.000120715,0.000271175,4.87E-05,1.06E-05,1.04E-05,1.04E-05,8.29E-06,7.08E-06
228,0.008429658,0.051615443,0.008154942,0.77712774,0.026486903,0.08221415,0.03614081,0.009248222,0.00052271,5.44E-05,4.36E-06,5.13E-07,2.09E-08,9.33E-08,1.04E-08,1.91E-10,1.44E-10,8.13E-11,7.27E-11,5.94E-11
