,TM4SF1,C4A,CRISP3,CD248
359,0,0,0,0
360,0,0,0,0
361,0,0.105263158,0,0.076923077
362,0.111111111,0.105263158,0.235294118,0
363,0.027777778,0.157894737,0.058823529,0
364,0,0,0,0
365,0.138888889,0,0,0
366,0.472222222,0,0,0
367,0,0,0,0.153846154
368,0,0,0,0
369,0.027777778,0,0,0
370,0.083333333,0,0,0
371,0,0,0.058823529,0.076923077
372,0.416666667,0.157894737,0.705882353,0
373,0.027777778,0,0,0.153846154
374,0.027777778,0,0,0.307692308
375,0,0,0,0
376,0,0,0,0
377,0,0.052631579,0,0
378,0.027777778,0,0,0.076923077
379,0,0.052631579,0.235294118,0
380,0.138888889,0.105263158,0,0.307692308
381,0.111111111,0.105263158,0,0.461538462
382,0.055555556,0.105263158,0.058823529,0.307692308
383,0,0,0,0.230769231
384,0,0,0.117647059,0
385,0,0.052631579,0.058823529,0
386,0.055555556,0,0,0
387,0.027777778,0,0,0
388,0,0,0,0
389,0.166666667,0.842105263,0,1
390,0.027777778,0.210526316,0,0.230769231
391,0.027777778,0.052631579,0,0.307692308
392,0.027777778,0.052631579,0,0.230769231
393,0.055555556,0.105263158,0,0.076923077
394,0,0,0,0.076923077
395,0.055555556,0,0.176470588,0
396,0.055555556,0.052631579,0.117647059,0
397,0.111111111,0.157894737,1,0
398,0.111111111,0.105263158,0.235294118,0
399,0.083333333,0.157894737,0.058823529,0
400,0.111111111,0.157894737,0,0.153846154
401,0.055555556,0.052631579,0,0.307692308
402,0,0.052631579,0,0.230769231
403,0,0,0,0
404,0.027777778,0,0,0.076923077
405,0.055555556,0,0.352941176,0
406,0,0.157894737,0.058823529,0
407,0,0.157894737,0,0
408,0,0.052631579,0,0
409,0.027777778,0,0.058823529,0
410,0,0,0.352941176,0
411,0,0.052631579,0.058823529,0
412,0,0.052631579,0.058823529,0
413,0.027777778,0,0,0.076923077
414,0,0,0,0.076923077
415,0.055555556,0,0,0
416,0.083333333,0,0,0
417,0,0,0.411764706,0
418,0,0,0,0
419,0.055555556,0.052631579,0.058823529,0
420,0.083333333,0.157894737,0.117647059,0
421,0.083333333,0.105263158,0.235294118,0
422,0.027777778,0.052631579,0.058823529,0
423,0.083333333,0,0,0.076923077
424,0,0,0,0
425,0,0,0,0
426,0.027777778,0,0,0
427,0,0,0,0
