,GC,PGC,M/TC,OSNs,EPL-IN
13.052x25.997,0.73485595,0.05637769,0.17267565,0.006188963,0.029901696
15.065x25.942,0.60089666,0.1455595,0.16628946,0.023870979,0.06338338
15.954x25.936,0.5839695,0.14461035,0.16148953,0.052251432,0.057679206
25.117x25.95,0.7518146,0.054432772,0.15940166,0.003975637,0.030375425
26.096x25.912,0.43000102,0.19755605,0.3639308,0.001378374,0.007133822
26.984x25.925,0.4460281,0.21359235,0.17403269,0.10425585,0.062090944
27.963x25.91,0.42081374,0.25182503,0.23799132,0.039667424,0.049702547
28.951x25.907,0.46663427,0.20735689,0.17603767,0.081716046,0.06825513
16.996x25.92,0.5979758,0.11897087,0.19054951,0.020295203,0.07220864
17.98x25.935,0.443236,0.22581509,0.18697122,0.09392621,0.050051525
19.04x25.9,0.43455654,0.23854917,0.18129364,0.091338366,0.054262277
20.045x25.924,0.44512597,0.20607486,0.19494238,0.09322233,0.060634404
20.999x25.892,0.42817077,0.26290488,0.24540569,0.013803647,0.04971498
21.945x25.895,0.5724023,0.15693098,0.23124485,0.019528225,0.019893644
24.036x25.953,0.69291097,0.074460335,0.17982201,0.014303892,0.038502827
23.245x26.014,0.61997926,0.13203047,0.17181197,0.027366184,0.048812043
23.217x27.926,0.5245555,0.1621177,0.17317753,0.09602292,0.044126302
24.171x27.919,0.51209384,0.14492324,0.18707108,0.0945742,0.061337665
24.133x26.965,0.6532472,0.10653829,0.17016228,0.014491374,0.055560876
23.159x27.0,0.49450222,0.20557953,0.12012981,0.10474013,0.07504829
21.971x27.883,0.47519276,0.24500477,0.21859457,0.023546506,0.037661433
21.992x26.873,0.5054557,0.18084505,0.15962256,0.098671496,0.05540523
27.017x26.917,0.4528397,0.24769817,0.21526954,0.043664027,0.040528543
27.013x27.885,0.44573396,0.2301417,0.1595493,0.09493394,0.06964104
25.105x26.949,0.47335902,0.22839269,0.22863607,0.03731011,0.03230207
26.095x27.828,0.42791662,0.25910205,0.22341263,0.028775686,0.06079301
25.068x27.858,0.461533,0.20588502,0.17647316,0.09698069,0.059128076
26.04x26.933,0.47034928,0.20499578,0.16599704,0.10089592,0.057762045
15.942x26.943,0.5913485,0.14595865,0.1556368,0.04098437,0.06607163
16.002x27.941,0.56185865,0.17458375,0.19006984,0.021390928,0.052096907
15.102x26.951,0.6999515,0.06820863,0.17917837,0.006893153,0.04576831
15.035x27.891,0.6121269,0.118413955,0.17386799,0.028517783,0.067073345
13.133x26.968,0.63069355,0.11126588,0.2003861,0.009377235,0.048277244
14.07x27.899,0.5153448,0.17440319,0.27703002,0.013341606,0.019880366
13.979x26.983,0.71090716,0.055806633,0.2119513,0.001003544,0.020331342
13.087x27.961,0.51399916,0.18483882,0.17032716,0.09248741,0.038347457
10.892x26.911,0.47368142,0.22498551,0.19531667,0.05833201,0.04768433
12.139x28.005,0.44928786,0.2457637,0.27681756,0.005306562,0.022824293
12.068x26.999,0.5036519,0.18338846,0.16824244,0.09077557,0.053941596
16.981x26.937,0.5331455,0.17970434,0.24151585,0.00963973,0.035994615
18.038x27.974,0.4445527,0.27562326,0.20576201,0.01738753,0.056674518
18.004x26.964,0.45148414,0.22369228,0.17453362,0.093586,0.05670397
16.996x27.901,0.45605835,0.22178948,0.17238194,0.08916438,0.06060577
14.058x28.995,0.52253693,0.18596497,0.16273561,0.06439527,0.064367294
15.956x28.912,0.49261472,0.21650559,0.16014148,0.075533696,0.055204414
15.037x28.942,0.5129415,0.19921152,0.17723592,0.05149471,0.059116356
16.969x28.883,0.46432903,0.2417607,0.18603107,0.058332667,0.049546573
9.92x26.907,0.49245757,0.20948307,0.15296105,0.06871501,0.07638332
7.962x22.994,0.4642071,0.18036874,0.19423634,0.090711266,0.07047656
20.973x26.907,0.46232307,0.26333168,0.15990596,0.06265208,0.051787186
18.97x26.953,0.4613577,0.21339495,0.1634734,0.09970153,0.06207243
27.93x26.89,0.46720403,0.22928493,0.14521618,0.09392058,0.06437431
24.114x28.955,0.466841,0.22763394,0.193443,0.054405097,0.057676975
25.134x28.934,0.45909894,0.24326012,0.15490438,0.06957491,0.0731617
29.961x18.97,0.44740903,0.16255112,0.19923203,0.113985814,0.07682202
